grid rho1 rho2 rho3 rho4 rho5 rho6 rho7 rho8 rho9 rho10 rho11 rho12 rho13 rho14 rho15 rho16 rho17 rho18 rho19 rho20 rho21 rho22 rho23 rho24 
0.005 1.7865456890774067e-6 1.1268657661763631e-5 0.00010750445886284835 0.0007826054785476343 0.003007372498817825 0.006086327143882755 0.006240921197675584 0.0032419724096222763 0.0006383370306573162 0.00041524192556951535 2.9479269982989748e-6 -4.269712824923541e-6 0.00031205520499958967 -1.2314628557120663e-6 0.00011622538476773348 -4.198212015223482e-7 5.6717591378715494e-5 -3.5666286417324056e-8 2.854811127496167e-5 1.1921101895342665e-7 1.4899274507174879e-5 1.406422486067635e-7 4.7764001261108024e-6 4.2278704287523894e-7 
0.015000000000000001 2.5040045588224646e-6 3.2628057955105816e-5 0.0003477813686039548 0.001832275070430718 0.005045305438052677 0.006837702525488119 0.004644288710019609 0.001284663350719674 0.0005679166994763691 3.0997488848719806e-6 -4.565783146524838e-6 0.0003530371812446569 -1.196176579445693e-6 0.0001308150187849565 -3.72169291717149e-7 6.565799417944862e-5 1.9216175547488723e-8 3.480824152327913e-5 1.883546937452192e-7 1.891049809026003e-5 2.154074500259999e-7 8.21544329803912e-6 2.561848183352429e-7 5.204276419534803e-7 
0.025 5.636917151108367e-6 0.00012601501504887203 0.0009432037169362396 0.0036691451832064972 0.006734861536967368 0.006052787875679162 0.0022990994146970117 0.0008460591428934103 3.57384807121372e-6 -5.231019095663925e-6 0.0003992883646424883 -1.1922340927656913e-6 0.0001478541508784497 -3.1608608666664623e-7 7.559599868008429e-5 9.837634604506484e-8 4.182190873986899e-5 2.556545422734667e-7 2.3439391907010415e-5 2.6635790782193747e-7 1.1149970592335464e-5 3.2251817521982903e-7 3.183334817855e-6 4.073283198582911e-7 
0.035 3.394527430585631e-5 0.00038892151258225136 0.002276924520074053 0.005886431210723464 0.007140137771090814 0.0036979511634656 0.001338258274263468 5.198157796131725e-6 -6.187656825806798e-6 0.0004519188459144478 -1.2372893426395443e-6 0.00016714981046306397 -2.922644794581264e-7 8.71792740660929e-5 1.8202298528039243e-7 4.939511449782727e-5 3.475665067602732e-7 2.865731217253204e-5 3.137450452217472e-7 1.4928871970587305e-5 3.2541564324380275e-7 4.806338280860132e-6 4.4688829046795817e-7 2.506500875777695e-7 
0.045 0.00011248534069361812 0.0011480061176454004 0.004460383109793596 0.007563633628544439 0.005357203866736531 0.0021868620805035825 4.953806014011859e-5 -5.815302795125071e-6 0.0005082988310782825 -1.2892625722007653e-6 0.0001879546902872043 -3.0677350481948806e-7 0.00010074547223544146 2.3870510277614054e-7 5.784501880289929e-5 4.522898841259962e-7 3.404734094415718e-5 3.9003029598887705e-7 1.9588840200780982e-5 3.282742129073323e-7 7.880460616100315e-6 3.5851334681199793e-7 3.6150251101515866e-7 3.3093635141284716e-7 
0.055 0.0004238119870079299 0.0028048550115272047 0.007088802005288282 0.006987669182898469 0.003537967694611753 0.00018810612290600347 -6.172874579763246e-6 0.0005777086080681858 -1.0908301767724102e-6 0.00020949733791251427 -3.3584819686578726e-7 0.00011628369536830895 2.6271594870267215e-7 6.786724665321618e-5 5.156091106102347e-7 3.9362098024395926e-5 5.029200520715194e-7 2.4405365712544796e-5 3.659460374701509e-7 1.2572738352964572e-5 3.523337268289536e-7 2.6561635185437266e-7 1.060782662390728e-6 6.503340391813411e-7 
0.065 0.0013329191750417052 0.005700562754874447 0.008167334601427018 0.005470677076423614 0.0005398826089470041 -6.473342101590007e-6 0.0006644483614769419 -7.839949383485825e-7 0.00023695886942437473 -2.980524994020996e-7 0.00013393275522240004 2.719720851741131e-7 7.983532064300206e-5 5.508529125734535e-7 4.5874805984231614e-5 5.514104994738247e-7 2.7651568076844093e-5 4.980711853776144e-7 1.8660271142138135e-5 3.5808304405405417e-7 6.533720957822007e-6 1.1843589892119406e-5 8.05505310002083e-6 7.542657612207015e-7 
0.075 0.003659406296788875 0.008447217418442593 0.007916386857384234 0.0013248750005318477 -6.585909728120884e-6 0.000786833775166351 -2.942913715888243e-7 0.0002736149755113836 -2.2935286095445914e-7 0.0001565546562638711 2.9151206919295763e-7 9.423088448103003e-5 5.837919223695498e-7 5.395044772719981e-5 5.646429640499386e-7 3.19594437957267e-5 5.089711108493709e-7 2.026682662881001e-5 5.516042714023947e-7 2.0172872801878564e-5 1.8290990089279676e-5 7.471124326921557e-6 5.528322770491899e-7 2.486156414419072e-7 
0.085 0.007481138414132046 0.010666398103778042 0.0029211071915410383 -6.3509919732539916e-6 0.0009824726703298306 4.852450596610873e-7 0.00032708226580893695 -1.7808809209761932e-7 0.00018818328228242852 3.0627033772870436e-7 0.00011350138663655704 6.345884910244739e-7 6.385887703566363e-5 5.764708287196154e-7 3.737944669153281e-5 4.663103892760679e-7 2.3766111346293584e-5 4.984177142230008e-7 1.6770519188013074e-5 4.860500545386746e-7 3.450816238662058e-8 3.795246709446614e-7 3.638295899882675e-7 2.615918954541885e-7 
0.095 0.013722892714694655 0.006078481371779489 -6.539469669161052e-6 0.0013325269201674582 1.6172472835636158e-6 0.0004171183448164575 -2.681501584797172e-7 0.00023568176316101993 2.305988229008146e-7 0.0001417217423435718 7.063204850467071e-7 7.754150196651104e-5 6.037842206611956e-7 4.3712057910853776e-5 3.895861823170543e-7 2.8449412099741543e-5 4.1686136237231546e-7 1.9081767146359996e-5 4.396004090698405e-7 6.91190680636012e-6 5.757755428625964e-7 4.2592053042392406e-8 5.92573203322315e-7 -1.0099413657801981e-7 
0.105 0.013735605200129768 -1.8419814381892205e-5 0.0020699976114838814 3.2665288778781568e-6 0.0005935326311215189 -9.124385588884718e-7 0.0003157400089697617 -1.1083683554020517e-7 0.00018636755950067845 7.560168008483958e-7 9.847172215523919e-5 6.60485099056997e-7 5.190573095587387e-5 2.808627627234097e-7 3.410772795059777e-5 2.793343871693773e-7 2.313449972507221e-5 3.970818625532248e-7 1.1615327759225739e-5 5.672003808662339e-7 2.609664550492699e-6 6.557560233415457e-7 -5.770291235694463e-8 4.311963611690339e-7 
0.11499999999999999 0.06243852554588111 0.011182641127014835 -2.240183543246281e-6 0.0009741956540867687 -2.187432683448923e-6 0.00048246909107727736 -1.316561620986166e-6 0.0002630343744306884 6.943828643684951e-7 0.00013456470728378993 7.728012148458107e-7 6.322926170515272e-5 1.1477220697201046e-7 4.153254540262185e-5 9.596999421150392e-8 2.8777201890069752e-5 2.7042263483015045e-7 1.6544458842316972e-5 4.974779970211068e-7 6.264772535113523e-6 6.67520193857647e-7 4.162942420717384e-7 5.730738075149732e-7 -2.9237602634096804e-7 
0.125 0.18341250931692704 0.07403003646417636 0.0168853035481933 0.0015700502112592392 0.0010946214970394743 -3.9358315519146155e-6 0.0004212017443739534 -6.121987182602581e-8 0.00020259382302448064 1.0634626240496776e-6 8.103276179672339e-5 -1.8395133879675618e-7 5.186947072231756e-5 -1.8994674182333266e-7 3.65495911433067e-5 6.883888482167458e-8 2.2894848678767834e-5 3.8451942989815684e-7 1.0683931177484749e-5 6.04894535062041e-7 2.1561763073428683e-6 6.821565008582843e-7 -2.578408083833613e-7 4.5811003220042057e-7 
0.135 0.4337502504015938 0.20779790297120182 0.08740723562489956 0.02332241930080646 0.003379573971944096 0.0014385129159916058 -3.797091483251358e-6 0.0003419612026578291 1.9831259680854613e-6 0.0001116849576128585 -7.71036890953071e-7 6.871931588191011e-5 -6.806014234210208e-7 4.72813482784435e-5 -2.342124417992848e-7 3.1601943521408706e-5 1.998245477993852e-7 1.65304536075105e-5 5.154806672036079e-7 5.15919484322304e-6 6.53886055081176e-7 -1.9561069829012226e-7 4.993973488676183e-7 -3.6938741241124284e-7 
0.145 0.9213216595996107 0.48098923083885886 0.23440846951551922 0.1021773456395403 0.030629439593033707 0.005666061847811599 0.001992073105198727 1.5151440638586089e-6 0.0001302228908847344 -1.2377548602704978e-6 0.00010806984452208586 -1.5220713183751455e-6 6.393194276388587e-5 -7.409965138824217e-7 4.337798706251239e-5 -4.482893627708387e-8 2.5232811946581237e-5 3.6399645041260316e-7 9.179626550978256e-6 5.510681704712231e-7 9.309627186065549e-7 5.256415766872026e-7 -3.7689032356710665e-7 4.348970151016318e-7 
0.155 1.7545342867421103 1.0027008712970116 0.531666534066068 0.2633439747043659 0.1183909179673378 0.03892378704379081 0.008548401994132142 0.002884578673776261 0.00045158342286371993 0.00020865612212967507 -2.1146831954152803e-6 0.00011020922442620375 -1.7045743609688836e-6 5.965034031806373e-5 -4.4199007351764137e-7 3.7441104851733344e-5 2.2042734086039246e-7 1.6281761800336072e-5 4.22931923732767e-7 2.8290057129065843e-6 4.833641202843953e-7 -4.015651896847384e-7 3.707173515702603e-7 -3.6356908620846506e-7 
0.165 2.99538463874012 1.8734498936238155 1.0878882165869845 0.5858420283203122 0.29471499513767935 0.13609748617538142 0.0482478061883482 0.012065182293465211 0.0038812945250355467 0.0008456119648069015 0.00031945821987067625 -2.5659869419157252e-6 0.00010960592396277611 -1.4321639731020193e-6 5.215609564407668e-5 6.401977864934488e-8 2.6748232601227608e-5 3.3567024259445986e-7 7.559447538107349e-6 3.3577805388040026e-7 -3.504073333061722e-7 1.9482333003806307e-7 -3.969962973892618e-7 3.5010016444063374e-7 
0.175 4.5839354087373945 3.1363595641995907 1.9942088209165019 1.176682480806677 0.6435531825686609 0.32864216015583575 0.15537171958677418 0.058613502756703434 0.016244406397784808 0.005125716041611038 0.0012995903919401372 0.00047047130144134766 -2.7604057449125835e-6 0.00010189777799004315 -6.571416942720287e-7 3.474796217573916e-5 3.8341722223382557e-7 1.5209883130762065e-5 2.0233382681984768e-7 1.9774386452722434e-6 1.2525239468101808e-7 -5.50203430683743e-7 1.209720431087028e-7 -1.9082295465988608e-7 
0.185 6.285573507633835 4.701087855611252 3.2736464442422877 2.1162026571768426 1.2688352918717456 0.7048086476961125 0.36524507613489327 0.17631310579987572 0.07009130532056036 0.021174908740540562 0.006705498300995294 0.0018536482616328832 0.0006688616386244482 -2.4123238607631076e-6 7.611257543775618e-5 9.910166415792732e-8 9.61277092644897e-6 2.7700243697111396e-7 8.69445743342215e-6 -8.01766903953463e-8 -1.6945341440796624e-7 -2.1291267572240945e-7 1.0097018787367205e-6 3.7477596460250284e-7 
0.19499999999999998 7.706114495072086 6.287613824858443 4.805132882451164 3.406286971145361 2.2387855568236037 1.3640515406171227 0.7695841838000174 0.4046337044946358 0.19902317998879757 0.08273126061236007 0.02690460343183665 0.008682404462741124 0.0025481312293567683 0.0009367092254826967 4.694518383622018e-7 -3.1233230242790413e-6 7.591657773991026e-7 5.411336394831132e-6 5.289577600800857e-8 3.5776779987888897e-6 -5.611808303641885e-7 4.027241654329557e-6 -2.1329436508026392e-7 2.0737095885944856e-7 
0.205 8.241255459253747 7.268836663622086 6.264096108744314 4.895348571475306 3.5333628170851283 2.3612830111085477 1.4619910610137798 0.8378201228339235 0.4469051503933301 0.22360857612417018 0.09658777320880252 0.03347723174053616 0.011110307273280847 0.003415446419865586 0.0013483592644730497 0.00019180699785861354 -1.3146354249779155e-6 3.7525856176785777e-7 -5.879289671534456e-7 -1.4640243761222804e-6 1.2814911045527528e-5 -4.788742056431421e-7 4.781862666459243e-6 6.921667006914989e-7 
0.215 7.660831019870564 6.998827678607922 6.927117153421783 6.219713725640627 4.971360756143901 3.654019465353557 2.483001875710653 1.562271297443132 0.9094194907103719 0.49214021792349516 0.2501791232517577 0.11172070618058068 0.04093461552090775 0.014037235090401477 0.004453225376390866 0.001762528328902663 0.00038059316767018875 1.2783432220327823e-6 -2.4159973482321823e-6 1.916712031467451e-5 -1.0650341251495013e-6 1.2907050774794027e-5 -3.7123107868991534e-7 6.60466598122536e-7 
0.22499999999999998 6.987886042434329 6.249826409323276 6.123275377861838 6.635268816445058 6.1580279352017495 5.033083735815831 3.767485154287889 2.603241257411334 1.6644710427236091 0.9842467773611524 0.5404000420408508 0.2788456597777752 0.12819602504955807 0.049318694917767227 0.01750797543324358 0.005714785491508492 0.002242583855471608 0.0006460318642511481 9.52214566990071e-5 -1.9327603448899763e-6 1.7385438681673422e-5 -7.361115964173159e-7 8.516265780956784e-6 1.2430696308234068e-6 
0.235 6.288114685345793 6.255465336548108 5.034548311839675 5.505072194456892 6.371225444537129 6.081831662783867 5.080665145969053 3.8730847340244554 2.7213037322939178 1.7681351095000943 1.0621274082035483 0.5917228646157343 0.30971766546906554 0.14608592072083817 0.05867305440543876 0.021580352007771968 0.007258161784698793 0.002788620726502846 0.0008951548539322136 0.00019140689255876722 -1.377767595974952e-6 3.086947450220076e-6 -7.193509196298797e-7 1.6072714750705458e-6 
0.245 5.01228576403007 6.453276361653583 5.2624640714192354 4.089904719659345 5.053356413516346 6.124631316196998 5.993430449809097 5.114441273919857 3.970248960148636 2.8365064296838103 1.8727798449294397 1.1428480845089721 0.6461211071619999 0.34290057440906896 0.16546839449229486 0.06904052676470745 0.02629834487046126 0.009127395309418323 0.0034501579005970923 0.001180744404719004 0.0003259894650558745 3.59942279223955e-5 -5.927145819940513e-7 2.2380254054502058e-6 
0.25500000000000006 3.3908249328630182 5.760339016312253 6.161627858291043 4.206414140411852 3.4110886401155502 4.705656289975791 5.8906689421853375 5.8948114830870635 5.134900830670592 4.058519858492667 2.948191650288208 1.9778993329548382 1.226157882352102 0.7035787786787544 0.3784929320180369 0.18642708165172275 0.08046648016712282 0.03170328289616186 0.011372303068371255 0.004265873868287235 0.001508518030258121 0.0004757650214113002 8.749266166101482e-5 3.4218498163674296e-6 
0.265 2.0633533489186 4.216100116486857 6.218355321566305 5.5031305626790665 3.240006368098594 2.9482912012613127 4.42352212006436 5.6670940489292905 5.787734855269304 5.142654413387227 4.137552702926453 3.055736677826002 2.0829721216269093 1.3117701688240346 0.7640493772898816 0.4165834131785278 0.20905032226427256 0.09299974349027251 0.0378329105644986 0.014034844935272017 0.0052671679490166184 0.0018910335326362618 0.000642729983074599 0.000194739819763326 
0.275 1.1282922989615962 2.719092090930797 5.013226460190816 6.303404878819836 4.6180187950839375 2.452129185814958 2.6394348796591793 4.184548572479955 5.452845829714707 5.6737804739291855 5.138407801252541 4.207115073173814 3.1585625595127538 2.187468316958138 1.3993652702239392 0.8274542808649569 0.45724775230248027 0.23342991192420287 0.10669373850975584 0.044723227301516524 0.017155180151950597 0.006490511689707891 0.0023470448363859323 0.0007923744573143116 
0.285 0.5494181907071213 1.5648253113286696 3.4707070091379015 5.660817585015206 6.008388496823254 3.6572809813199796 1.869783066906845 2.4304279385551633 3.9757912892987504 5.247397307033862 5.554372321378392 5.1229381398404215 4.267083429689201 3.256141633659366 2.2908568394078914 1.4885938666818939 0.8936817372140977 0.5005457937743583 0.25965957845184484 0.1216073362015852 0.05240944412480994 0.020770203584105078 0.007972891539506644 0.0028995276148525897 
0.29500000000000004 0.23932861424134003 0.7957975897351567 2.1198609566003697 4.25919167679563 6.049573646059332 5.395735505844075 2.748978672909532 1.4751224673202092 2.282343420545359 3.7895682289095607 5.05045128747167 5.430792113015102 5.097072589474233 4.317437613162039 3.348003686082903 2.3926126441872015 1.5790810536676363 0.9625864665270139 0.5465184701755786 0.2878328295432394 0.1378054489054323 0.0609276201174876 0.024913461253741255 0.009751686631357444 
0.305 0.09287522417695745 0.3593144372849487 1.1349226790838223 2.7872371180127518 4.995632198485546 6.112228064535373 4.574332580407179 1.9779429634077523 1.2276815003606865 2.170455795167028 3.6210891518987687 4.861798597550083 5.304188446391649 5.061669289939337 4.358253676852862 3.433740658819763 2.4922237288525513 1.670430934703893 1.0339899555644292 0.5951851800780358 0.31804043925263403 0.1553587462201298 0.07031617424156193 0.029615603916455624 
0.31500000000000006 0.03202522894235936 0.1433550945403465 0.5349952856835187 1.584293493104049 3.535006564351077 5.57819291486366 5.840071102051765 3.6689030039037775 1.3813416170162591 1.0829433778964188 2.080311423284733 3.4671839806568934 4.681253121399822 5.175584334086441 5.017600581158231 4.389695448206434 3.513009891868207 2.5891977509575512 1.7622317048533354 1.107681421262722 0.6465414980846357 0.35036798242393435 0.1743429437979553 0.0806172728444837 
0.325 0.009790682738101877 0.050295656478317914 0.2211087397018653 0.7858533528458398 2.1516922229490154 4.302065652694702 5.916648425806209 5.2819588783851765 2.791429422709128 0.9571730557067157 1.003173721077564 2.003863246555465 3.325625776471667 4.50862347628316 5.045884384172498 4.965738442127312 4.412005185927718 3.585535928958013 2.683068105718667 1.854061055778992 1.1834194623586525 0.7005571792671309 0.38489325544278163 0.19483778613237648 
0.335 0.0026841122551598748 0.015475467171813511 0.07959213050581929 0.3390775805423636 1.1323674388839717 2.82678567064862 5.003817405387444 5.955806422006106 4.528206535637502 2.0219508665423747 0.6792398177574075 0.9610842756433228 1.9367003158891098 3.1947635726613584 4.343702254326468 4.915882110012256 4.906942082600038 4.425493680381244 3.6511109464916878 2.7733993254054528 1.9454917520746264 1.2609344124471495 0.7571746685846087 0.4216838061485875 
0.345 0.0006994767658882392 0.004251745515523788 0.024809690920441375 0.12630373297118158 0.5142149143874929 1.5913590333362988 3.574129127541365 5.547376470752169 5.689562809096134 3.686155703315629 1.4018728052206846 0.5119766481288418 0.9390948818657578 1.8763581723584832 3.0733166557141773 4.186263644871567 4.786267481817875 4.8420476006676525 4.430530103677248 3.709593907354399 2.859791710944301 2.0360972470614613 1.3399313430763922 0.8163081167277539 
0.35500000000000004 1.578561110038984e-6 0.0009716439244562489 0.00680252534171269 0.04025404289001887 0.19991326038957527 0.7667963856895168 2.1689815460436632 4.331367299610772 5.852512002214929 5.161216413417419 2.8556848916744335 0.9383295473100277 0.4210136507320541 0.9268835116534615 1.8213843881536567 2.9602546653507327 4.03606494133128 4.657634674379664 4.771859587213426 4.427531885063843 3.760908579320251 2.9418851175135785 2.1254571291690145 1.4200935428083623 
0.365 2.2489687066546554e-5 1.3967841041781504e-6 0.0015312135345462233 0.011060038052116729 0.06577999152458502 0.3138248670409735 1.1179290805685989 2.852664873378169 5.015580873381122 5.871553284789048 4.450827692999119 2.1115439620205243 0.6149852215067414 0.37852095335012964 0.9188670254264182 1.770852299554272 2.854724701271958 3.8928496979118896 4.530489901931645 4.697144536424855 4.416954844941973 3.8050405620879246 3.019361841168987 2.2131622572677654 
0.37500000000000006 1.5190255403443181e-5 -1.2638556078168467e-5 1.2369074002885339e-5 0.002461631925491578 0.018270798952848936 0.1076787881755561 0.48575672887314963 1.5846462830030206 3.6047954470235517 5.537920664386089 5.601456621543717 3.6546576893010245 1.4959336386490725 0.4040385219487113 0.36450102333863754 0.9122667098165496 1.7241166021220884 2.7560050806803242 3.756351416106278 4.405259215354884 4.618625898620118 4.399283773729895 3.8420335065565214 3.091948651010955 
0.38499999999999995 1.8480411915176853e-6 7.16636621202367e-5 -9.172865263369634e-7 0.0002000837821056721 0.004166460613338075 0.030644097324801934 0.1754780782950262 0.7370586785086387 2.1726896967913656 4.36164046077078 5.823069022375263 5.084057450336714 2.863691855875103 1.0207179301789968 0.2757371655457521 0.3658308518823303 0.9058364495855783 1.680691972144176 2.6634747627700377 3.626297201901344 4.28229614173593 4.536980603203769 4.375023613261443 3.8719847206539892 
0.395 1.0417165217241342e-6 4.447635955709406e-7 9.676403636255625e-5 -1.6126941094173064e-6 0.0005098283136049583 0.0071087376035131045 0.05184892282142379 0.28291942008320137 1.0901242196020133 2.8683762679328333 5.04012139015732 5.827531954742637 4.3947934013722465 2.1475226231787894 0.6757372969421744 0.2040274518875408 0.37451967503394873 0.8991083291724487 1.6401920614074736 2.576592323096107 3.5024111258312467 4.161889067583061 4.452836878178968 4.344691337206538 
0.40499999999999997 1.2215814769022532e-6 4.802902416230215e-6 2.6472435493696267e-7 7.8416371701584e-5 -1.3406759938328072e-6 0.001062067546944278 0.012296542318904202 0.0878497967553015 0.4485321815289976 1.5632379629131519 3.6323736580107333 5.552410421434461 5.550646562413643 3.6240747804428812 1.5470063405155863 0.43886815587915806 0.16876558262264282 0.3860207855837551 0.891978583213469 1.6022976020853947 2.494880960225453 3.384417173027801 4.044268286388819 4.3667731849410405 
0.41500000000000004 -9.739339829843013e-7 1.515325724057645e-6 -8.26840432493342e-7 2.726452277487801e-7 3.6980028858546454e-5 1.098962584128449e-6 0.0020182800651954123 0.021519327760412873 0.14797344795893846 0.6951079291094542 2.162950852256378 4.398874212128623 5.825000030472387 5.034577205878929 2.8575453521836853 1.0755162908762033 0.28452211338404426 0.1556996499911918 0.39792374093959393 0.8844949572879022 1.566738556094338 2.41791744455525 3.2720417493304543 3.929612649719389 
0.425 3.280826232302664e-6 -2.980351136846679e-6 3.7777646326713626e-6 -4.548208393760633e-6 4.377468673395085e-6 -5.429903699935568e-6 9.960493363783685e-6 0.003687035059383873 0.03793269698421486 0.24613046182743797 1.0471334823351968 2.875447048526044 5.082718888049181 5.816517269313847 4.353418286201895 2.1610621298053587 0.7258878505358776 0.18911653108618487 0.1554054814432448 0.4090619605068058 0.87675458285599 1.533283192171309 2.3453237263464572 3.165015751746156 
0.43500000000000005 -2.8428764591113126e-6 3.342808578814943e-6 -3.241268024594887e-6 3.5918112750114167e-6 -4.840555471426547e-6 7.267310856698059e-6 -2.566441374522721e-6 0.00025427972180063624 0.006917501964578271 0.06694760554814289 0.4016779838246938 1.5253854110783438 3.659881192761162 5.594407598650439 5.528366924942206 3.595238838256899 1.5737020603240206 0.4792559020856564 0.13360246656020336 0.1619774124212411 0.4189535825378097 0.8688588937590644 1.5017307504338178 2.2767603919382826 
0.44499999999999995 1.1426488014890795e-6 -7.89746617841508e-7 9.638507627880016e-7 -6.245437964534639e-7 -1.4151329955948422e-7 3.188701603370342e-6 4.714729291543235e-5 -2.2055420303458695e-6 0.0006486119875940763 0.01295778525555089 0.11739038032733684 0.6392491812990263 2.1386693590356725 4.447385349499815 5.859632211845063 5.0044852921913545 2.8430276598073227 1.1087631151548853 0.31277847228487926 0.10392004058730692 0.1718765446459826 0.42747257125845156 0.8608963451776596 1.4719061116344831 
0.455 6.126384814817559e-7 -4.0015806957068023e-7 7.206944646100111e-7 -5.5961124020322e-7 6.017961727035337e-7 1.9215687855136943e-6 3.6537510903107695e-7 3.6194311361275114e-5 -1.6600246574051403e-6 0.0014143600144793551 0.024277654530040996 0.20298971154164283 0.9864096770713562 2.8741973512185 5.148497106063889 5.837543220250843 4.320212305217016 2.160224282158776 0.7601307865152274 0.20480512497245773 0.09035428621693258 0.18306567638720414 0.434664814255491 0.8529378308021853 
0.46499999999999997 -1.5514359584349602e-6 1.7709900331603842e-6 -1.5419172692560795e-6 1.8681581978857026e-6 -1.5028962368872356e-6 3.697382679928099e-6 -1.5347659338728337e-6 9.423031480972066e-7 1.0736841424404883e-5 2.67417304706391e-7 0.0029387537509347004 0.0453373965450094 0.343756710491991 1.4680660221175952 3.689838274218709 5.669048094800639 5.531653577312568 3.5640643000007333 1.5840988224950348 0.5104876739208094 0.13743538437994202 0.08651589807216276 0.19441945042239978 0.44064980700435646 
0.47500000000000003 2.07077963726085e-6 -2.0115198883950344e-6 2.4825957237444712e-6 -2.453919067989599e-6 3.6387331845549875e-6 -2.490821766855042e-6 5.6094197212544494e-6 -7.176882953251543e-6 8.173506779469292e-6 -9.808208381936745e-6 9.883405149412744e-6 0.0059461718051935855 0.08388300212179636 0.5665353491631006 2.097314382706698 4.512412884486569 5.9310605218937456 4.989398461561628 2.818471693499941 1.1269359033811412 0.3385482858216789 0.09716056254209758 0.08835491887183543 0.20534773837439496 
0.485 -1.3834543214578249e-6 1.517319784963625e-6 -1.2612851128541297e-6 1.7090011726530324e-6 -8.306773587561656e-7 2.4683806938968073e-6 -2.494241244099804e-7 1.5290169095866918e-5 6.441095305991656e-7 3.8799630857179815e-5 6.220584417362951e-7 0.00019092502163550393 0.012123212996318408 0.1528382692993952 0.9032237914054206 2.8641782593489493 5.245295869290713 5.892518797839749 4.290196203964992 2.1453559461296225 0.7823948874648207 0.22394598549356387 0.07443149476868026 0.09337272348853036 
0.49500000000000005 6.488214159081768e-7 -4.934397473087271e-7 6.258599217546547e-7 9.417235238146082e-8 6.11587336394985e-7 1.3610425399993714e-6 5.599017115611241e-6 2.035373402372448e-7 1.5133715069743509e-5 8.963452614689504e-7 6.04068625422588e-5 4.073343563490428e-8 0.0005238468557490408 0.024480894881272676 0.2723900348208761 1.3852322662510517 3.7258291204549305 5.785679649264011 5.559336111146101 3.52594792267044 1.5798975800689348 0.5335564380183243 0.14969327174013616 0.06281159961084504 
0.5050000000000001 1.8324431204190528e-7 1.5724415524114195e-6 3.2209515389049204e-7 3.518085848574874e-7 6.186432782500847e-7 1.0104607522671422e-6 1.3554533892859433e-7 6.84677805618851e-6 4.363292275232078e-7 1.5357981905314566e-5 7.875187162977026e-7 4.848783892413659e-5 -1.1703545216290578e-7 0.001238801465529727 0.048881181486174236 0.47168136223643886 2.0332690182356496 4.6032446091320605 6.047964727704348 4.984880372232375 2.7805596982434 1.1323257686444783 0.35990680060763586 0.10284394699736693 
0.515 5.6560379079959033e-8 1.3245351907290037e-8 2.892479449424605e-7 3.3642293150500796e-7 8.082285007384414e-7 6.720880285247463e-7 4.587545161869981e-6 3.749421426113564e-7 8.663379492761768e-6 5.854226497233744e-7 9.647294898010306e-6 6.728409661458518e-7 2.1185074718533398e-5 7.68261581868962e-7 0.0028169471403055243 0.09603636959130261 0.7884597416768131 2.843571915400106 5.388525685290125 5.986550044632265 4.256529793918205 2.1149918188997634 0.7948341476183517 0.2419689253358161 
