grid rho1 rho2 rho3 rho4 rho5 rho6 rho7 rho8 rho9 rho10 rho11 rho12 rho13 rho14 rho15 rho16 rho17 rho18 rho19 rho20 rho21 rho22 rho23 rho24 
0.005 6.097526240771492e-5 0.0017020750163563615 0.005044729495411529 0.011324387771635865 0.01716581784326123 0.019794492757133943 0.022090931978953517 0.021893512297636517 0.01953331091316384 0.016188117245844597 0.011999309602280656 0.007997804925141683 0.004920737378052986 0.002775251961317088 0.0013725082184796317 0.0005884900786082281 0.00012917051453323683 7.952295389404215e-5 6.144993284816838e-5 5.154206805658805e-5 4.610742039652324e-5 3.994933542744196e-5 1.5737133591446975e-5 4.47244057487535e-6 
0.015000000000000001 0.00025159190198643586 0.00016249568753927066 0.002445448714352358 0.006683130278083149 0.014260600080742356 0.023985287688839743 0.026541327569846486 0.024368819014122106 0.02005064179761637 0.01400462326921776 0.00922752846679864 0.005879001299324144 0.003409577380469875 0.0017034812817237968 0.0007309600136983993 0.00028282845302976187 0.00023802008251093236 0.00010343996172264801 5.279482936056991e-5 6.126034152497198e-5 3.898184905096885e-5 2.9053826814491243e-5 2.1743004325583577e-5 4.5580335479057654e-6 
0.025 0.000229650315846687 0.004188826544794088 0.011560198335631381 0.022264572984183502 0.02818934756724286 0.02307736264872181 0.019880429110403185 0.01780549902736777 0.01427592344196097 0.012664993168677412 0.00973603813511515 0.006151668784150181 0.003644344016013809 0.0020148787796339662 0.0010242921972863223 0.00043112869021599137 3.249393310642175e-5 4.991849390611862e-5 9.359577394967358e-5 4.828189782641115e-5 5.8526851603925983e-5 3.803467077086783e-5 1.4956867334719667e-5 3.590533966674192e-6 
0.035 0.0007528631955272536 0.000764517485896208 0.0034657965727499275 0.006264050206994734 0.01286222237489535 0.028917069388791766 0.03337289300366069 0.027491199261495645 0.021252443760488154 0.01108535469125458 0.00453095832740457 0.002536275397911278 0.0010764249579901797 0.0003532522886979042 5.5989797042091394e-5 6.635411235627643e-5 0.0002795985910748755 0.00015859929801413826 4.457149357028293e-5 7.875957697060613e-5 3.084503263257876e-5 2.3899086727479334e-5 2.009806486851992e-5 3.8595904659766145e-6 
0.045 0.0008793077017111434 0.010183993924756975 0.025753581062824306 0.04380323536324329 0.04898185437890974 0.026374259292071423 0.010630146099204277 0.00860956708427724 0.005439915867815059 0.009819140258780258 0.011599411185006948 0.007235266434643499 0.0044540608229793385 0.002549337501179085 0.0013331692376413688 0.000590900079377359 2.816243449359733e-6 2.560419433744656e-5 0.00013065539401914232 4.2554278642656027e-5 6.642005389505094e-5 4.020373015672582e-5 1.0005058601026372e-5 3.391517292916993e-6 
0.055 0.0023874774297069287 0.003401207819196065 0.004492301904432654 -2.725183429613809e-7 0.0018461506087144412 0.03374935215020281 0.050221930559743014 0.03961653813292082 0.030165795936974583 0.012360340297578872 -6.643374141817107e-7 1.4548475987287424e-8 -3.9851687939077484e-6 -4.647945935072715e-6 1.495510735745273e-6 9.428349356528751e-5 0.0004256990790414347 0.0002588228808958091 2.8555374678653107e-5 9.560305209803648e-5 2.0137553898187666e-5 1.4440390937739758e-5 2.161719779436447e-5 3.4103427148674675e-6 
0.065 0.0035680344550046653 0.023829236786586862 0.0529198159812022 0.08097129153827902 0.08517463777061121 0.036427027762298815 2.006338651857134e-7 2.643529303065443e-8 -1.626590928206881e-7 0.01009595758184892 0.015229764989870736 0.00911473449309269 0.005617420660824135 0.0033426364851731755 0.002044192775159403 0.001025073387085822 0.00014706432782262845 5.260811449230712e-6 0.00018772577156792643 2.7474500552979262e-5 7.56129386750206e-5 4.397939724677148e-5 5.196626896831168e-6 3.2349484827866315e-6 
0.075 0.008529893064563882 0.016435547731359017 0.01658679492924531 0.002917399282745354 8.652054322893566e-8 0.045641479675371584 0.07013939957054169 0.05268663615986351 0.037795497627690654 0.0177851747024285 0.006825013663180283 0.005975052321513345 0.003935806281646793 0.0027499599706468786 0.0014815505668116374 0.0008996081477829739 0.0007249519634377836 0.00046549546202143523 6.207536662570113e-6 0.00012040048688995381 7.339153374320926e-6 5.827594429350276e-6 2.535411718562145e-5 3.6263426367224433e-6 
0.085 0.01610520504219272 0.05613554910185945 0.09683250247451942 0.1247197964713414 0.12041096202971685 0.06187935033593055 0.025068171789900392 0.024648914345029235 0.021272006266678453 0.023508363546809533 0.019942046529405726 0.01322600588101689 0.008916851335565197 0.0055687972740315825 0.0036558182277551463 0.001974176804229663 0.0008007734238668976 0.00016946632912542454 0.00029592764098950505 8.338831650422885e-6 8.303051119930207e-5 5.4034718667642654e-5 9.6572599912032e-7 3.575772695302293e-6 
0.095 0.036377075666653366 0.07100181465686999 0.08085997964053393 0.06794062318015875 0.06269400997953828 0.09007643276571212 0.09230749889946105 0.06994867212099651 0.05308288778989355 0.0348979578803886 0.02449924859964439 0.01763355850038957 0.012274972527081054 0.007994581958698302 0.004938702333531254 0.002955971895200575 0.0016353391475674127 0.0008872564727117655 0.00013452224684906277 0.0001665110163068099 4.97947924901895e-6 -8.003254407177966e-7 3.4685620860529015e-5 3.965494961739868e-6 
0.105 0.07719579701295212 0.15285027759307085 0.19124403916271843 0.19909623109011163 0.1778853163059023 0.1261746254494862 0.09453100843917916 0.07960281108920783 0.06416405899344613 0.05284397489583349 0.03971018733533258 0.028635741541477473 0.01951948174345429 0.013000127942130318 0.00800815151721472 0.004831998990837902 0.0024666810211888476 0.0010178370879691985 0.000554795422296969 0.00011166227957466225 0.0001045813092514597 7.588128407052348e-5 -3.419718144645695e-7 4.887411045578077e-6 
