grid rho1 rho2 rho3 rho4 rho5 rho6 rho7 rho8 rho9 rho10 rho11 rho12 rho13 rho14 rho15 rho16 rho17 rho18 rho19 rho20 rho21 rho22 rho23 rho24 
0.005 2.182612352974629e-5 0.0008545671405822642 0.0025498383396946453 0.005149662032702005 0.012735707570904432 0.02605550388566761 0.03763057885802466 0.047990944586522165 0.05732218659135241 0.06325693015605495 0.06719627181071058 0.06794599290594087 0.06659796482542417 0.0628017820046631 0.05761984625085991 0.05152519538962012 0.044248113859495126 0.03708374346131915 0.029711625544686163 0.02270916737262818 0.016410116322363583 0.010823850628033371 0.006367078501981482 0.0024831626762755743 
0.015000000000000001 0.0001283152670008723 0.0006126258141426165 0.0037645638513773318 0.01226987229072953 0.022963068130253585 0.03310606351441159 0.04647780535923223 0.05899991133066469 0.06804966881949018 0.07476673083954608 0.07743143130138405 0.07755829455176827 0.07474723523130797 0.07023977793732036 0.06393341428510749 0.05630393917746765 0.04851784286625128 0.04008117404604508 0.03202745394319251 0.02439727155080923 0.01737977756411102 0.011431818873369748 0.006641047824616775 0.0025597342465544237 
0.025 0.0002121458457511648 0.002037470966047045 0.0065586023387145375 0.014166526893681685 0.02785443833329196 0.04674627030281362 0.062292553950488376 0.0747624823360962 0.08454585883384724 0.0896281559640286 0.09179255754397878 0.09017326835566276 0.08613468386972911 0.07953070317808482 0.07157840850567782 0.06286186667570012 0.053181256202280806 0.04388645122691756 0.03468052289436509 0.02614723754016529 0.01862860093715807 0.012100898131005289 0.006976482809645246 0.0026612547895599192 
0.035 0.0005099307016750076 0.0031309574622398906 0.01174988400097091 0.028812184463526028 0.04875940292875785 0.06631132063383148 0.08410489677429228 0.09818083715885896 0.10653697591496147 0.1109614059482242 0.11033085616483795 0.10661622813800736 0.09975817749889021 0.09124333372475735 0.08113409737879035 0.07001947483912374 0.059130629868543554 0.04801161915409004 0.037708173295804975 0.028253361158480858 0.019804070187843387 0.012797949971202205 0.007270097340721093 0.0027240940352446508 
0.045 0.0010656737917231606 0.007107287657677312 0.021195991316853367 0.04203839205586101 0.06826725499802637 0.09577401315186782 0.11543025918335442 0.12823778707909467 0.13560749130329766 0.13654284038253656 0.13357544664798476 0.12641613757378373 0.11682096103311042 0.10490402501446647 0.09205118385538953 0.07893782926184922 0.06542995391431006 0.052889119852435676 0.04101440121414418 0.030361867579259405 0.021225645152041228 0.013523167531785674 0.007608074655798824 0.002822308131766871 
0.055 0.002418900591946477 0.013124385498778073 0.03759831842235794 0.07353026443158678 0.10885742136197812 0.13531824696829559 0.15583199782803356 0.16804476752241665 0.17159989188209973 0.16949388029582493 0.16156068279992658 0.1503782734584366 0.13629829399967996 0.12106225705383411 0.10487937411812684 0.08843123033399919 0.07295754042461691 0.05801862869061272 0.04462818226683464 0.03276401005471892 0.022519367919297123 0.014242352561984195 0.00788348392183058 0.0028727691195939986 
0.065 0.005314419119234167 0.02639391441162486 0.06553491319576965 0.1116626487724674 0.15491796611203906 0.18963480082952708 0.20907840714165044 0.21678102983431471 0.2161111199148392 0.20763024117040774 0.19480459792343532 0.1780049386472884 0.15936851183503686 0.13922962897277222 0.11908802492996887 0.09964143159276895 0.08078963210047321 0.0638376913281672 0.04844750509817031 0.03510866800747747 0.02400567844880047 0.014952099071356695 0.008191699491943982 0.0029544862283459317 
0.075 0.01182027965507754 0.049625691735072905 0.111463803549445 0.1780829260287405 0.2294297393343273 0.2593709612084152 0.27499881614761695 0.2774697438033858 0.26896524064717137 0.2539474392352925 0.233283762785437 0.2100841291764381 0.1850175894976101 0.15997446999840717 0.13521524090625398 0.11144424821099598 0.0898140958629742 0.06986733904414053 0.05252798613414392 0.03768146493891289 0.025318478521322435 0.01562962775414345 0.008413846221429211 0.0029786898387507144 
0.085 0.02589908027779849 0.09360368644656568 0.18456223735973454 0.2639609341546191 0.318348503724258 0.34934781761826034 0.35709674928150936 0.3492497485141597 0.331588363386634 0.30626981954205884 0.27749625347811124 0.246108580245058 0.21442547095406908 0.18283922114489987 0.1528256989011231 0.12498206609316796 0.09918597558891198 0.07659113746183513 0.05679078832167943 0.04017644378159595 0.02677785461205201 0.01625215022994647 0.008644636902598035 0.003027511271552763 
0.095 0.05605820366947629 0.16948633731241414 0.2962387658971623 0.39168363402709955 0.443702926479597 0.4598777660791923 0.45500140864392624 0.4346867350683013 0.4036361838862636 0.3673484337757222 0.3273422569163488 0.28687647057216203 0.2466505671045436 0.2084713794633199 0.17248050897082837 0.1392894542222878 0.10983712906475658 0.08360892750855428 0.06136973136932622 0.042893028573987024 0.028061785132300898 0.01683471327397351 0.008785843087080747 0.003021559445992583 
0.105 0.1182496853238635 0.2988597298006156 0.4595793884970764 0.5533804312178788 0.5918848273618789 0.5949077688306428 0.5712847527599673 0.5325993362538728 0.486181560123862 0.4350065086095136 0.3833110610504891 0.3319089009526019 0.2829141592385497 0.23650599195483307 0.1939331153398366 0.15553152174735946 0.12108757357309 0.09149803855648155 0.06625567178924589 0.04563132057735751 0.029501888115374825 0.017362038717437522 0.00893138305678165 0.003030491575517491 
0.11499999999999999 0.241090940430459 0.5046407047569231 0.687205799286585 0.7686625483345061 0.7816935151433599 0.753275623615395 0.7048098828677419 0.6447138800642155 0.5785713329443236 0.5116446711860989 0.445219552533379 0.38204689741943315 0.3224151998621601 0.26772876109541044 0.2177985607348684 0.17300696762959333 0.13393952837775103 0.10000015384697136 0.07171768855878495 0.04873537507515818 0.0308750405760512 0.017866310679194586 0.008987516430333797 0.0029969662843631895 
