grid rho1 rho2 rho3 rho4 rho5 rho6 rho7 rho8 rho9 rho10 rho11 rho12 rho13 rho14 rho15 rho16 rho17 rho18 rho19 rho20 rho21 rho22 rho23 rho24 
0.005 1.4078129369730907e-7 1.5768175547822144e-7 8.176102842287133e-7 1.381625991175514e-6 1.0524676609825062e-6 -1.1701458218181526e-7 -5.991269712551234e-7 -4.951710091873757e-7 3.2891748756071204e-7 6.128876478810746e-7 5.45814209671272e-7 9.896043923554587e-8 -4.911671898193137e-7 -1.975280790929984e-6 -3.034272374503877e-6 -4.064071605722891e-6 -4.310128337223218e-6 -6.030345993737751e-6 -3.895520702713873e-6 9.670960583914312e-6 2.667853192979408e-5 2.3442698911593784e-5 3.206617843858062e-5 4.354258789501797e-5 
0.015000000000000001 -2.5137379504325263e-8 2.1525688308644125e-7 8.554792031018055e-7 1.5755152023289032e-6 7.758332082243719e-7 -1.0427523571172881e-7 -7.0255288938878e-7 -4.6894241419702387e-7 1.3641678203724084e-7 6.183601569155484e-7 4.1988132463109673e-7 3.6847068538709005e-7 -3.726595725582482e-7 -1.912689008565227e-6 -3.3014569266777427e-6 -4.069723591546698e-6 -4.388250969718233e-6 -6.195428694372174e-6 -4.381839114990516e-6 8.871080458758285e-6 9.455117724876949e-6 3.790729677516369e-5 6.400045449717062e-5 4.4188221798996397e-5 
0.025 9.448587142725506e-8 -3.890949936379007e-8 1.1301565055760882e-6 1.6515093732676067e-6 7.296500829749586e-7 -3.5764867816444335e-7 -6.018133951249394e-7 -7.241697492967741e-7 1.9254551846155377e-7 4.602811348210223e-7 4.7108472214264785e-7 4.807560850719067e-7 -7.974015545086921e-10 -2.0183525884474862e-6 -3.529390828291984e-6 -4.096382089438522e-6 -4.529081141894931e-6 -6.06852266857999e-6 -5.691844818384029e-6 -7.5568126998992735e-6 2.22350749982253e-5 2.2586769656690597e-5 1.3818552828046005e-5 4.056508233138412e-5 
0.035 2.1151585951478813e-7 -3.31049919075066e-7 1.240565824806722e-6 2.192118710598462e-6 2.831827743653148e-7 -2.793470821847721e-7 -8.639661009616356e-7 -6.968654688022102e-7 -7.665720580009305e-8 7.283257795476228e-7 9.073793543791508e-8 1.0125180362977743e-6 1.3104836660282615e-7 -1.8501888818765744e-6 -4.094229323799159e-6 -3.95060910443612e-6 -4.662307765031237e-6 -6.031375494527924e-6 -6.928289082372419e-6 3.322244312292666e-6 -1.5165353729404418e-5 -5.144437944387681e-6 5.823788217992898e-5 6.140014844474573e-5 
0.045 6.238112206262067e-7 -1.0768440918259778e-6 1.919482351840293e-6 2.1762296004319837e-6 5.234635168469698e-7 -1.0682919582803707e-6 -2.406311923591059e-7 -1.6398365001394494e-6 4.745451020853053e-7 3.8479669706679986e-7 2.84495141941038e-7 8.793003282089873e-7 1.2634093523970769e-6 -2.5992122786554217e-6 -3.922326132811682e-6 -4.641729283057228e-6 -3.860659871304795e-6 -6.748133218534291e-6 -7.638557970000848e-6 -1.3109663545875228e-5 1.5211207708351604e-5 4.029195205673686e-5 2.0905409019167376e-5 3.515375489870909e-5 
0.055 2.1442153208582962e-5 -1.1887949355384592e-6 9.655142719187937e-7 5.477339502270306e-6 -2.1929044629644123e-6 4.7042143986632257e-7 -1.4368934069496075e-6 -1.0996727130025558e-6 -2.476080585359086e-7 1.363109157189249e-6 -9.503685765872155e-7 2.1415947491949805e-6 1.1574682990712903e-6 -2.147339062032877e-6 -5.082968080466488e-6 -4.2787531483179375e-6 -3.8751967393682585e-6 -6.778778347503456e-6 -8.838116205903135e-6 1.6411502461524674e-5 9.2386550912954e-6 -3.2349712834542355e-5 0.00012299231355594742 0.00016435329825495448 
0.065 0.00022233286408768638 0.00028196087367552726 0.00015840507058217067 4.347340583138112e-6 -2.7726925429672616e-6 8.463174651536509e-7 -2.2675299915075192e-6 -1.0302645160609192e-6 -1.9183394970190976e-6 4.18471018102419e-6 -3.197029316368699e-6 2.3667623590996334e-6 5.515593152864706e-6 -6.5355807596541304e-6 -1.4461289378660258e-6 -8.888640482245663e-6 1.1335030358772258e-6 -9.342669696037198e-6 -1.0574637750518368e-5 -1.4138082969801513e-5 4.8261422242595886e-5 0.000411986756018376 0.0005949132313887162 0.00028447777172119215 
0.075 0.0006728108197147104 0.000526587163405829 0.0006100731762453786 0.0008964433893850297 0.0010780831667850203 0.0012363054560435207 0.0013778989878860184 0.0014137314512184095 0.0012214492928594618 0.0009011619458193249 0.0006657385837918663 0.0003026395250273206 4.920359545149133e-6 -9.216225955142876e-6 1.00235259458889e-6 -1.1834650130888857e-5 5.708347216790144e-7 0.0002601199496025247 0.0005585996639453916 0.000854905836242259 0.0012931586672291356 0.0011976441742004434 0.0005823114002323493 0.00015287527861049255 
0.085 0.0031194599625664022 0.003499838851281768 0.0036556059843107554 0.003347801847709635 0.0028215633283635005 0.0020837646443653927 0.0011938269711612819 0.00036934874345332 1.2275155585137615e-6 -4.249349650452261e-6 -6.530624239303728e-7 0.0004812126239399882 0.0012585149782528247 0.001739406413927072 0.0021125002046071956 0.002505979465226675 0.002803802315396245 0.0027597714407710805 0.002714131357689324 0.002550501071903709 0.0016447195303716938 0.0007143764319133411 0.0004049427016199203 0.00022107682880190271 
0.095 0.009723873028775294 0.007867994184115488 0.006501255513830461 0.005899618544520343 0.0058852040300190565 0.006508304201237759 0.007728676713183091 0.00923368359375858 0.010386375094288735 0.011029133270004828 0.011344762399011958 0.010717766886229971 0.009302628867323935 0.008038926377402448 0.007012088000122978 0.0059914157147740454 0.005025748761254729 0.004231843716057462 0.003089632936066622 0.00171605566396376 0.0011290340753731393 0.0010221199965760458 0.0006958703261970844 0.00025661273698115994 
0.105 0.035307554397203886 0.0370155458497724 0.03757659599630005 0.03675388158421973 0.03479139424051995 0.031686484827069594 0.027569212018106835 0.022912420917368816 0.018567312649468096 0.014909996554256797 0.011943341950452959 0.01031365111053813 0.009790566595715977 0.009143037176717779 0.00805101266430925 0.006851025175502127 0.005539984356378765 0.004044718688142948 0.0031748251527486185 0.003074715385463847 0.002489297397334847 0.00146903506920322 0.0007379209985391988 0.00025185463933471985 
